player,team,gameInfo,salary,value,completionsAttempts,passingYards,passingTouchdowns,interceptionsThrown,rushingAttempts,rushingYards,rushingTouchdowns,receptions,targets,receivingYards,receivingTouchdowns,fantasy,positionRank,overallRank,opponentDefensiveRank
Terry McLaurin,Washington Commanders,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,92.06,137.4,1131.56,7.65,204.91,17,63,
Zay Flowers,Baltimore Ravens,,N/A,N/A,0.0/0.0,0,0,0,5.52,28.12,0.22,79.98,122.48,1077.42,7.33,196.18,18,66,
D.K. Metcalf,Pittsburgh Steelers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,75.25,131.28,1111.83,7.35,191.91,19,68,
Garrett Wilson,New York Jets,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,87.94,145.19,1041.63,6.47,185.49,20,73,
Davante Adams,Los Angeles Rams,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,83.04,139.89,979.69,7.58,185.31,21,74,
Courtland Sutton,Denver Broncos,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,77.35,132.34,1022.97,7.37,183.83,22,75,
DeVonta Smith,Philadelphia Eagles,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,82.76,119.99,995.24,6.12,176.94,23,78,
Jerry Jeudy,Cleveland Browns,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,79.32,124.17,1116.22,4,175.62,24,79,
D.J. Moore,Chicago Bears,,N/A,N/A,0.0/0.0,0,0,0,9.16,47.89,0.34,87.13,135.21,909.01,5.43,173.2,25,80,
Calvin Ridley,Tennessee Titans,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,73.08,128.21,1018.44,5.87,172.86,26,82,
Xavier Worthy,Kansas City Chiefs,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,77.65,123.34,946.41,6.44,172.03,27,84,
Deebo Samuel,Washington Commanders,,N/A,N/A,0.0/0.0,0,0,0,10.07,52.17,0.58,72.71,109.93,928.29,5.74,170.96,28,85,
Jakobi Meyers,Las Vegas Raiders,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,81.36,124.1,994.08,4.45,166.17,29,87,
Stefon Diggs,New England Patriots,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,82.38,128.07,918.84,5.44,165.03,30,89,
George Pickens,Dallas Cowboys,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,71.63,126.4,1013.02,4.7,164.22,31,91,
Chris Olave,New Orleans Saints,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,79.63,130.88,900.76,5.83,163.87,32,92,
Marvin Mims,Denver Broncos,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,68,106.44,915.63,6.4,162.94,33,93,
